Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_0636_,1.1,3.247e-09,0.000e+00,1.027e-07,1.059e-07
_0637_,1.1,1.764e-09,0.000e+00,1.027e-07,1.045e-07
_0638_,1.1,9.051e-10,0.000e+00,1.027e-07,1.036e-07
_0639_,1.1,1.334e-10,0.000e+00,2.559e-08,2.572e-08
_0640_,1.1,7.434e-11,0.000e+00,2.559e-08,2.566e-08
_0641_,1.1,1.094e-08,0.000e+00,8.200e-08,9.294e-08
_0642_,1.1,1.678e-09,0.000e+00,2.559e-08,2.726e-08
_0643_,1.1,9.191e-10,0.000e+00,2.559e-08,2.651e-08
_0644_,1.1,1.731e-09,0.000e+00,1.027e-07,1.044e-07
_0645_,1.1,2.513e-10,0.000e+00,2.559e-08,2.584e-08
_0646_,1.1,1.365e-10,0.000e+00,2.559e-08,2.572e-08
_0647_,1.1,1.049e-13,0.000e+00,2.033e-08,2.033e-08
_0648_,1.1,1.342e-21,0.000e+00,2.025e-08,2.025e-08
_0649_,1.1,9.469e-08,0.000e+00,1.435e-08,1.090e-07
_0650_,1.1,5.861e-07,0.000e+00,3.825e-08,6.244e-07
_0651_,1.1,4.973e-07,0.000e+00,2.507e-08,5.224e-07
_0652_,1.1,5.073e-07,0.000e+00,3.340e-08,5.407e-07
_0653_,1.1,9.451e-08,0.000e+00,1.435e-08,1.089e-07
_0654_,1.1,2.808e-07,0.000e+00,2.120e-08,3.020e-07
_0655_,1.1,5.312e-07,0.000e+00,2.531e-08,5.565e-07
_0656_,1.1,1.044e-06,0.000e+00,4.198e-08,1.086e-06
_0657_,1.1,9.491e-08,0.000e+00,1.223e-08,1.071e-07
_0658_,1.1,2.712e-07,0.000e+00,2.208e-08,2.933e-07
_0659_,1.1,5.312e-07,0.000e+00,2.531e-08,5.565e-07
_0660_,1.1,1.044e-06,0.000e+00,4.198e-08,1.086e-06
_0661_,1.1,2.712e-07,0.000e+00,2.208e-08,2.933e-07
_0662_,1.1,3.501e-07,0.000e+00,2.032e-08,3.704e-07
_0663_,1.1,4.595e-09,0.000e+00,1.012e-08,1.471e-08
_0664_,1.1,4.970e-07,0.000e+00,3.340e-08,5.304e-07
_0665_,1.1,5.198e-07,0.000e+00,2.507e-08,5.449e-07
_0666_,1.1,3.902e-07,0.000e+00,2.533e-08,4.155e-07
_0667_,1.1,2.601e-07,0.000e+00,2.546e-08,2.856e-07
_0668_,1.1,1.626e-07,0.000e+00,2.552e-08,1.881e-07
_0669_,1.1,1.004e-07,0.000e+00,2.555e-08,1.260e-07
_0670_,1.1,1.941e-08,0.000e+00,1.005e-08,2.946e-08
_0671_,1.1,5.389e-09,0.000e+00,2.412e-08,2.951e-08
_0672_,1.1,2.245e-08,0.000e+00,2.052e-08,4.296e-08
_0673_,1.1,9.335e-08,0.000e+00,1.435e-08,1.077e-07
_0674_,1.1,9.460e-08,0.000e+00,2.383e-08,1.184e-07
_0675_,1.1,9.693e-08,0.000e+00,1.223e-08,1.092e-07
_0676_,1.1,3.259e-07,0.000e+00,2.752e-08,3.534e-07
_0677_,1.1,5.546e-07,0.000e+00,2.883e-08,5.834e-07
_0678_,1.1,3.434e-07,0.000e+00,2.787e-08,3.713e-07
_0679_,1.1,2.630e-07,0.000e+00,1.739e-08,2.804e-07
_0680_,1.1,8.240e-07,0.000e+00,2.648e-08,8.505e-07
_0681_,1.1,9.323e-08,0.000e+00,1.435e-08,1.076e-07
_0682_,1.1,2.697e-07,0.000e+00,1.739e-08,2.871e-07
_0683_,1.1,1.691e-06,0.000e+00,1.368e-07,1.828e-06
_0684_,1.1,5.299e-07,0.000e+00,2.683e-08,5.567e-07
_0685_,1.1,4.886e-07,0.000e+00,2.269e-08,5.113e-07
_0686_,1.1,4.922e-07,0.000e+00,3.340e-08,5.256e-07
_0687_,1.1,1.604e-08,0.000e+00,5.343e-09,2.138e-08
_0688_,1.1,4.897e-07,0.000e+00,2.455e-08,5.143e-07
_0689_,1.1,5.329e-07,0.000e+00,2.254e-08,5.554e-07
_0690_,1.1,9.275e-08,0.000e+00,1.435e-08,1.071e-07
_0691_,1.1,4.599e-07,0.000e+00,3.606e-08,4.960e-07
_0692_,1.1,2.446e-11,0.000e+00,1.010e-08,1.013e-08
_0693_,1.1,9.338e-08,0.000e+00,1.435e-08,1.077e-07
_0694_,1.1,1.114e-08,0.000e+00,2.999e-08,4.113e-08
_0695_,1.1,2.015e-07,0.000e+00,1.577e-08,2.173e-07
_0696_,1.1,2.092e-09,0.000e+00,1.011e-08,1.220e-08
_0697_,1.1,6.559e-07,0.000e+00,4.976e-08,7.056e-07
_0698_,1.1,2.745e-07,0.000e+00,2.063e-08,2.951e-07
_0699_,1.1,7.301e-08,0.000e+00,1.118e-08,8.419e-08
_0700_,1.1,3.406e-07,0.000e+00,2.756e-08,3.681e-07
_0701_,1.1,4.053e-08,0.000e+00,2.022e-08,6.075e-08
_0702_,1.1,4.915e-07,0.000e+00,2.626e-08,5.178e-07
_0703_,1.1,5.570e-07,0.000e+00,1.502e-08,5.720e-07
_0704_,1.1,5.786e-09,0.000e+00,2.298e-08,2.877e-08
_0705_,1.1,5.153e-09,0.000e+00,6.970e-09,1.212e-08
_0706_,1.1,2.959e-09,0.000e+00,1.633e-08,1.929e-08
_0707_,1.1,5.151e-09,0.000e+00,6.971e-09,1.212e-08
_0708_,1.1,2.961e-09,0.000e+00,1.633e-08,1.929e-08
_0709_,1.1,5.149e-09,0.000e+00,6.972e-09,1.212e-08
_0710_,1.1,2.961e-09,0.000e+00,1.633e-08,1.929e-08
_0711_,1.1,5.157e-09,0.000e+00,6.975e-09,1.213e-08
_0712_,1.1,2.975e-09,0.000e+00,1.634e-08,1.931e-08
_0713_,1.1,2.760e-07,0.000e+00,1.944e-08,2.955e-07
_0714_,1.1,5.768e-09,0.000e+00,2.287e-08,2.863e-08
_0715_,1.1,3.094e-09,0.000e+00,2.413e-08,2.722e-08
_0716_,1.1,5.564e-07,0.000e+00,1.502e-08,5.714e-07
_0717_,1.1,5.795e-09,0.000e+00,2.298e-08,2.878e-08
_0718_,1.1,5.563e-07,0.000e+00,1.502e-08,5.713e-07
_0719_,1.1,5.788e-09,0.000e+00,2.298e-08,2.877e-08
_0720_,1.1,5.148e-09,0.000e+00,6.970e-09,1.212e-08
